2024-11-29T13:20:57.697Z - {"temperature":25.2,"humidty":71}
2024-11-29T13:57:55.617Z - {"temperature":26,"humidty":68}
2024-11-29T13:58:25.705Z - {"temperature":26,"humidty":68}
2024-11-29T13:58:55.792Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:59:25.874Z - {"temperature":26.1,"humidty":68}
2024-11-29T13:59:55.966Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:00:26.045Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:00:56.132Z - {"temperature":26.1,"humidty":67}
2024-11-29T14:01:26.217Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:01:56.337Z - {"temperature":26.1,"humidty":67}
2024-11-29T14:02:26.392Z - {"temperature":26.1,"humidty":67}
2024-11-29T14:02:56.469Z - {"temperature":26.1,"humidty":67}
2024-11-29T14:03:26.558Z - {"temperature":26.1,"humidty":67}
2024-11-29T14:03:56.639Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:04:26.727Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:04:56.810Z - {"temperature":26.1,"humidty":67}
2024-11-29T14:05:26.898Z - {"temperature":26.1,"humidty":67}
2024-11-29T14:05:56.981Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:06:27.069Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:06:57.170Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:07:27.240Z - {"temperature":26,"humidty":67}
2024-11-29T14:07:58.522Z - {"temperature":26,"humidty":68}
2024-11-29T14:08:27.411Z - {"temperature":26,"humidty":68}
2024-11-29T14:08:57.494Z - {"temperature":26,"humidty":68}
2024-11-29T14:09:27.582Z - {"temperature":25.9,"humidty":67}
2024-11-29T14:09:57.665Z - {"temperature":26,"humidty":68}
2024-11-29T14:10:27.753Z - {"temperature":26,"humidty":67}
2024-11-29T14:10:57.839Z - {"temperature":26,"humidty":67}
2024-11-29T14:11:27.927Z - {"temperature":26.1,"humidty":67}
2024-11-29T14:11:58.010Z - {"temperature":26.1,"humidty":67}
2024-11-29T14:12:28.099Z - {"temperature":26.1,"humidty":67}
2024-11-29T14:12:58.181Z - {"temperature":26.1,"humidty":67}
2024-11-29T14:13:28.270Z - {"temperature":26.1,"humidty":67}
2024-11-29T14:13:58.352Z - {"temperature":26,"humidty":67}
2024-11-29T14:14:28.435Z - {"temperature":26,"humidty":68}
2024-11-29T14:14:58.523Z - {"temperature":25.9,"humidty":67}
2024-11-29T14:15:28.607Z - {"temperature":26,"humidty":68}
2024-11-29T14:15:58.907Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:16:28.781Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:16:58.869Z - {"temperature":26.2,"humidty":68}
2024-11-29T14:17:28.956Z - {"temperature":26.4,"humidty":68}
2024-11-29T14:17:59.113Z - {"temperature":26.5,"humidty":68}
2024-11-29T14:18:29.123Z - {"temperature":26.6,"humidty":66}
2024-11-29T14:18:59.346Z - {"temperature":26.6,"humidty":67}
2024-11-29T14:19:29.297Z - {"temperature":26.6,"humidty":66}
2024-11-29T14:19:59.382Z - {"temperature":26.7,"humidty":67}
2024-11-29T14:20:29.464Z - {"temperature":26.7,"humidty":66}
2024-11-29T14:21:02.605Z - {"temperature":26.6,"humidty":67}
2024-11-29T14:21:29.639Z - {"temperature":26.6,"humidty":67}
2024-11-29T14:21:59.729Z - {"temperature":26.7,"humidty":66}
2024-11-29T14:22:29.810Z - {"temperature":26.7,"humidty":66}
2024-11-29T14:23:00.016Z - {"temperature":26.6,"humidty":66}
2024-11-29T14:23:29.982Z - {"temperature":26.6,"humidty":66}
2024-11-29T14:24:00.065Z - {"temperature":26.6,"humidty":66}
2024-11-29T14:24:30.153Z - {"temperature":26.5,"humidty":66}
2024-11-29T14:25:00.234Z - {"temperature":26.5,"humidty":66}
2024-11-29T14:25:30.378Z - {"temperature":26.2,"humidty":67}
2024-11-29T14:26:00.410Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:26:30.496Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:27:00.581Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:27:30.665Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:28:00.751Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:28:30.836Z - {"temperature":26,"humidty":68}
2024-11-29T14:29:00.919Z - {"temperature":26,"humidty":68}
2024-11-29T14:29:31.006Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:30:01.093Z - {"temperature":26.1,"humidty":68}
2024-11-29T14:30:31.179Z - {"temperature":26.3,"humidty":67}
2024-11-29T14:31:01.265Z - {"temperature":26.3,"humidty":68}
